"ethnicity_code","ethnicity_group"
"A1","Asian / Asian British"
"A2","Asian / Asian British"
"A3","Asian / Asian British"
"A4","Asian / Asian British"
"A9","Asian / Asian British"
"O1","Asian / Asian British"
"B1","Black / African / Caribbean / Black British"
"B2","Black / African / Caribbean / Black British"
"B9","Black / African / Caribbean / Black British"
"M1","Mixed / Multiple ethnic groups"
"M2","Mixed / Multiple ethnic groups"
"M3","Mixed / Multiple ethnic groups"
"M9","Mixed / Multiple ethnic groups"
"O2","Other ethnic group"
"O9","Other ethnic group"
"W1","White"
"W2","White"
"W3","White"
"W8","White"
"W9","White"
"0","Not recorded"
"00","Not recorded"
"O0","Not recorded"
"0O","Not recorded"
"OO","Not recorded"
"MERG","Not recorded"
"MER","Not recorded"
"","Not recorded"
"NS","Not stated"
